"Kategori Biaya","Estimasi Biaya (Total 4 Orang)","Catatan"
"Tol PP (Bogor-Semarang-Solo)","Rp 1.000.000 - Rp 1.300.000","Estimasi kasar Gol I (Bogor-Jkt + Jkt-Smg + Smg-Solo) PP. Cek tarif tol terbaru 2025."
"Bensin PP","Rp 800.000 - Rp 1.500.000","Estimasi jarak total ~1150 km (PP). Asumsi konsumsi 1:10 - 1:15 km/liter, harga bensin Rp 10.000/liter."
"Makan (3x sehari/orang)","Rp 2.400.000 - Rp 4.800.000","Asumsi Rp 50.000 - Rp 100.000 per orang per hari (4 orang x 4 hari)."
"Akomodasi (3 malam)","Rp 600.000 - Rp 2.800.000","Estimasi 3 malam. Range terendah (3 x Rp 200rb budget) s/d tertinggi (4 x Rp 700rb mid-range, butuh 2 kamar)."
"Opsional (Wisata, Parkir, Jajan)","Rp 200.000 - Rp 1.200.000","Sangat bervariasi tergantung aktivitas & kebiasaan jajan."

"Skenario Budget","Estimasi Total Biaya","Catatan"
"Minimalis (Menginap budget, makan hemat)","Rp 5.000.000 - Rp 6.000.000","Memungkinkan jika sangat cermat dalam memilih penginapan (1 kamar besar/family room) & tempat makan."
"Menengah (Menginap budget/mid-range, makan standar)","Rp 6.000.000 - Rp 8.000.000","Lebih realistis dengan kombinasi penginapan & pilihan kuliner."
"Optimal (Menginap mid-range, makan bervariasi)","Rp 8.000.000 - Rp 10.800.000","Memungkinkan untuk menginap di mid-range (butuh 2 kamar) & mencoba lebih banyak kuliner. Bisa sedikit melebihi Rp 10jt."
